Given direction,Real direction,Reaction time
S,S,1.47
E,NE,3.79
S,S,2.26
NW,NW,1.76
W,W,1.86
N,N,1.71
SE,SE,2.19
E,E,1.77
E,E,1.91
E,E,1.92
SW,SW,1.9
SE,SE,2.83
W,W,2.73
SW,W,3.32
S,S,1.9
N,N,1.83
E,E,2.81
NW,NW,2.09
NE,NE,1.85
SW,SW,1.74
SW,SW,3.15
SE,SE,2.14
W,NW,1.97
NW,NW,3.06
NE,NE,1.68
N,N,1.89
NE,NE,2.08
E,SE,2.37
W,W,1.72
N,N,1.7
S,S,1.72
SW,SW,1.55
