Given direction,Real direction,Reaction time
N,NE,2.06
NW,NW,1.92
NE,S,2.1
SW,SW,2.19
N,N,2.37
E,E,2.13
S,E,2.32
SW,W,2.76
N,N,2.08
NE,NE,2.03
SE,SE,2.31
NW,NW,3.74
E,E,2.23
SW,SW,2.3
SW,SW,2.37
E,SE,2.53
W,W,2.4
S,S,2.3
E,SE,2.32
W,W,2.44
N,N,2.26
NE,E,2.98
NW,NW,2.08
S,S,2.1
NE,NE,1.96
NE,NE,2.36
E,SE,3.86
N,N,2.09
S,S,1.99
W,W,2.32
NW,NW,3.06
SW,SW,1.97
