Given direction,Real direction,Reaction time
E,E,2.07
E,E,2.46
SE,SE,1.97
NE,NE,2.2
SW,W,2.38
E,E,1.72
W,W,1.73
N,NW,2.78
SW,SW,2.62
NE,NE,2.04
S,S,2.85
N,N,3.05
S,S,2.62
NE,NE,2.77
SW,SW,1.81
SW,SW,1.7
NE,SE,1.97
E,NE,2.01
E,SE,1.73
SW,SW,1.75
E,N,2.21
N,N,3.26
NW,NW,2.09
W,W,1.6
W,NW,1.99
W,NW,1.69
SE,SE,2.21
S,S,3.53
W,W,1.73
S,S,2.65
N,N,2.27
E,E,2.28
