Given direction,Real direction,Reaction time
E,NE,2.83
E,E,2.46
W,W,2.92
NW,W,3.63
SW,SW,2.24
NE,NE,2.16
NW,NW,2.02
NW,NW,2.11
NW,W,2.78
S,S,2.19
N,N,2.31
SE,SE,2.28
S,S,2.96
E,SE,3.83
SW,SW,2.72
SW,SW,3.18
NW,NW,3.1
NW,NW,3.21
E,E,2.0
NE,NE,2.18
N,N,2.53
NE,NE,2.27
SE,SE,3.25
N,N,2.43
W,W,2.18
E,E,1.82
W,SW,2.24
S,S,2.22
SE,SE,2.47
E,E,2.12
S,S,3.01
N,N,2.36
