Given direction,Real direction,Reaction time
SW,SW,1.7
S,S,1.28
SW,SW,5.19
E,E,3.24
S,S,1.79
N,N,1.46
NW,NW,1.56
SE,SE,2.04
S,S,1.46
N,N,1.46
NE,NE,2.39
SW,SW,1.85
E,E,1.69
SE,E,2.28
W,W,1.71
N,N,1.51
NW,NW,1.59
E,E,1.5
W,W,1.97
NW,NW,1.94
S,S,1.86
W,W,1.39
E,NE,1.26
NE,NE,1.54
NE,NE,1.86
SW,SW,1.73
E,SE,1.77
W,W,1.96
N,N,1.74
E,SE,1.92
SE,SE,2.13
W,NW,4.21
