Given direction,Real direction,Reaction time
SW,SW,1.77
W,NW,2.27
E,SE,2.3
SE,S,4.18
W,W,2.29
S,S,2.08
N,N,2.8
E,SE,2.55
NE,NE,2.55
E,SE,2.1
N,N,2.46
NE,N,3.02
E,E,1.96
W,NW,2.04
NW,NW,2.43
E,E,2.34
NE,NE,2.29
E,E,2.01
SW,SW,2.57
S,S,2.46
W,SW,2.88
NE,NE,2.87
W,NW,1.75
E,SE,1.69
N,N,2.71
SW,W,2.41
S,S,2.55
E,E,2.83
SW,SW,1.62
W,W,2.01
NE,NE,2.13
W,W,1.67
