LeftEye;Head;Eye;0.0;200.0;105.0
RightEye;Head;Eye;0.0;160.0;105.0
VU left;Head;EOG;0.0;200.0;90.0
VL left;Head;EOG;0.0;200.0;115.0
HL;Head;EOG;0.0;220.0;102.0
HR;Head;EOG;0.0;140.0;102.0
REF;Head;EOG;0.0;180.0;85.0
