Given direction,Real direction,Reaction time
W,W,1.42
E,SE,1.54
W,SW,1.99
W,NW,1.74
NE,NE,2.08
NE,NE,1.78
NW,NW,1.87
E,E,1.65
E,E,1.51
S,S,1.72
E,SE,2.03
E,E,1.67
W,W,1.57
S,S,1.66
NE,NE,1.7
E,E,1.73
W,W,1.77
E,SE,2.15
W,NW,1.67
E,NE,1.48
S,S,1.5
SW,SW,1.68
SE,SE,1.59
S,S,1.78
SW,SW,1.6
N,N,1.61
SW,SW,1.51
N,N,1.58
W,W,1.87
W,NW,1.93
N,N,1.65
N,N,1.53
