Given direction,Real direction,Reaction time
SW,SW,1.7
E,SE,1.86
N,N,1.55
S,S,1.78
N,N,1.81
E,E,1.66
S,S,1.73
SW,SW,1.64
SE,SE,1.82
N,N,1.34
SW,SW,1.45
NW,NW,1.59
NW,NW,1.5
SW,W,1.46
W,NW,1.45
E,NE,1.7
E,E,1.8
N,N,1.5
SW,W,1.4
NE,E,1.87
W,W,1.63
NE,NE,1.91
NE,NE,1.65
NW,NW,1.66
E,E,1.58
SW,SW,2.15
NE,NE,1.84
SE,SE,1.97
NW,W,1.75
SE,SE,1.77
S,S,1.59
S,S,1.59
