Given direction,Real direction,Reaction time
NE,E,2.65
NW,NW,2.99
S,S,2.84
NE,NE,2.14
SW,SW,2.09
W,W,2.2
W,W,2.28
SE,SE,2.03
S,N,2.25
E,E,2.34
SE,SE,2.18
S,S,2.43
SE,NE,1.91
SW,NW,3.44
N,N,8.1
SW,SW,2.93
