Given direction,Real direction,Reaction time
W,W,3.69
NW,NW,2.24
NW,NW,2.61
NE,NE,2.17
S,S,2.81
NE,E,2.89
E,E,3.15
NE,NE,2.24
SE,SE,3.07
S,S,2.49
W,W,2.58
N,N,2.49
SW,SW,2.61
SE,SE,3.08
SW,SW,2.73
N,N,2.28
