v1;Torso;0;175;90
v2;Torso;0;185;90
v3;Torso;-0.05;195;90
v4;Torso;-0.1;205;90
v5;Torso;-0.1;215;90
v6;Torso;-0.1;225;90
RA;Arm_r;-0.45;270;90
LA;Arm_l;-0.45;90;90
RL;Upp_leg_r;-0.45;180;90
LL;Upp_leg_l;-0.45;180;90
