Given direction,Real direction,Reaction time
S,S,1.74
N,N,1.79
N,N,1.94
SW,SW,1.94
W,W,1.95
NW,NW,2.28
S,S,2.22
W,W,1.81
SW,SW,1.88
E,E,3.06
N,N,1.86
E,E,1.75
NW,NW,2.02
E,E,1.89
NE,NE,1.81
NW,NW,2.78
N,N,2.43
SW,SW,1.74
W,W,2.19
SE,SE,2.03
E,SE,1.75
NE,NE,1.92
SW,NW,2.03
S,S,1.95
NE,NE,2.03
SW,SW,1.91
NE,NE,1.85
E,E,1.82
W,W,1.72
SE,SE,1.81
SE,SE,1.77
S,S,2.12
