Given direction,Real direction,Reaction time
W,W,1.94
NE,NE,1.95
SW,SW,1.89
S,S,1.79
E,E,2.17
W,W,1.87
SW,W,2.39
SW,SW,2.33
E,SE,2.03
SW,SW,2.01
NW,NW,2.24
W,NW,2.23
NE,NE,4.27
SE,SE,1.94
NE,E,3.97
SE,SE,1.9
E,E,2.71
N,N,1.66
E,E,1.82
S,S,1.97
W,NW,3.09
N,N,1.85
NE,NE,1.85
W,NW,2.32
N,N,1.78
E,SE,2.6
SW,W,1.91
SW,SW,2.07
N,N,2.21
S,S,1.66
NE,NE,1.72
S,S,1.57
