Given direction,Real direction,Reaction time
NE,NE,2.29
E,E,1.61
S,SW,3.58
NW,NW,3.45
NW,NW,2.24
SE,SE,1.96
S,S,2.21
N,N,2.01
W,W,1.76
S,S,1.84
SW,SW,1.86
E,E,1.81
NE,NE,1.84
N,N,1.65
W,W,1.91
SE,SE,2.53
