Given direction,Real direction,Reaction time
N,N,1.46
SE,SE,1.95
NE,NE,1.58
E,E,1.31
SE,SE,1.84
E,E,1.59
NE,NE,1.57
S,S,1.41
S,S,1.48
W,W,1.49
W,W,1.53
NW,NW,1.76
SW,SW,1.71
W,NW,1.74
N,N,2.11
SW,SW,1.48
