Given direction,Real direction,Reaction time
SE,SE,1.58
W,NW,2.28
N,N,1.88
SE,SE,1.86
SE,SE,2.45
W,SW,2.53
W,SW,2.67
NE,NE,2.33
W,W,1.94
S,S,2.01
N,N,1.86
N,N,1.87
W,W,2.27
W,W,1.93
E,E,1.93
NE,NE,1.91
NE,NE,2.0
W,W,1.87
E,E,1.87
S,S,1.81
SW,SW,1.93
W,NW,2.1
W,NW,2.3
E,E,1.94
S,S,1.69
N,N,1.75
E,SE,2.16
E,E,1.96
W,NW,2.28
S,S,1.8
NE,NE,2.18
SW,SW,1.97
