Given direction,Real direction,Reaction time
W,W,2.15
SW,SW,1.97
SW,SW,1.81
N,N,1.76
E,E,1.74
N,N,1.66
SW,SW,1.75
S,S,1.95
NW,NW,1.73
SW,SW,2.16
W,W,1.93
SE,SE,2.13
NW,NW,1.9
NW,NW,2.02
NE,NE,2.03
NE,NE,2.14
SE,SE,1.84
N,N,1.69
NE,NE,1.97
NE,NE,1.88
S,S,2.5
E,E,1.72
S,S,2.22
SE,SE,2.27
NW,NW,1.87
W,W,1.78
E,E,2.02
E,E,1.97
W,W,1.91
S,S,1.69
N,N,1.75
SE,SE,2.17
