Given direction,Real direction,Reaction time
N,N,2.63
E,E,2.35
NW,NW,2.57
S,S,2.79
SW,SW,2.37
S,S,3.66
SE,SE,2.0
S,S,2.3
N,N,2.51
NE,NE,2.04
SW,W,1.9
NE,NE,2.59
NE,NE,3.0
SW,W,2.24
N,N,4.07
SW,SW,2.16
E,SE,2.09
E,E,1.96
NW,NW,2.42
NW,NW,3.12
E,E,3.0
NE,NE,2.47
SW,SW,1.94
SE,SE,2.72
S,S,2.0
SE,SE,2.13
W,W,5.05
E,E,1.98
N,N,2.33
SW,SW,1.96
NW,NW,2.28
NW,W,2.59
