Given intensity,Real intensity,Reaction time
3,4,2.55
1,1,2.37
3,2,2.05
4,5,2.2
1,1,2.05
3,2,2.33
3,3,2.21
2,2,2.03
1,1,2.74
4,3,2.09
5,4,1.85
5,5,1.79
4,3,2.13
5,5,1.81
2,1,1.88
5,4,3.43
3,3,1.97
4,4,1.92
4,5,3.08
2,2,2.54
