Given intensity_and_length,Real intensity_and_length,Reaction time
4,5,2.64
3,4,3.74
1,1,2.84
4,5,2.71
3,3,3.13
2,1,2.25
2,2,4.31
3,2,4.14
5,4,2.75
4,3,2.45
