Given intensity_and_length,Real intensity_and_length,Reaction time
4,4,1.48
5,5,1.67
1,1,2.09
4,3,1.77
1,1,1.65
3,2,3.72
3,3,2.45
5,5,1.57
2,2,2.49
4,4,1.82
