Given intensity_and_length,Real intensity_and_length,Reaction time
3,3,2.08
2,1,3.78
4,4,2.01
3,2,2.01
2,1,2.69
3,2,2.17
4,4,1.66
3,2,3.28
3,3,2.2
5,5,1.46
4,3,1.92
5,5,2.04
5,5,1.84
4,4,1.83
1,1,2.0
4,4,1.59
4,3,1.94
5,5,1.58
4,2,2.39
1,1,2.57
