Given direction,Real direction,Reaction time
SW,SW,1.77
SW,SW,2.22
SE,SE,2.03
N,N,1.76
NW,NW,2.05
NW,W,1.66
NW,W,2.02
E,E,4.29
E,E,1.76
SW,SW,1.83
S,S,1.68
SE,SE,1.78
S,S,1.68
E,E,1.8
N,N,1.71
NE,NE,1.86
W,W,1.64
N,N,1.71
S,S,1.67
NW,NW,2.35
SW,SW,1.83
NE,E,2.3
S,S,2.08
NW,NW,1.66
SE,SE,1.65
SE,SE,1.92
N,N,1.67
NW,NW,1.85
W,W,1.74
E,NE,8.43
NE,NE,2.24
NE,NE,2.21
