Given direction,Real direction,Reaction time
S,N,5.05
W,W,4.16
W,NW,2.62
E,SE,3.71
NW,S,5.14
E,E,2.31
SW,SW,2.12
NE,E,3.07
S,S,4.22
W,W,2.62
SW,SW,2.66
NW,NW,3.71
E,N,3.87
E,NE,2.19
NE,NE,3.76
E,SE,2.59
