Date,0
1539018630.643965,0.885958
1539018630.758009,0.886203
1539018631.026462,0.885958
1539018631.156723,0.887912
1539018631.156723,0.887912
1539018631.288291,0.886203
1539018631.288291,0.886203
1539018631.429087,0.887912
1539018631.540527,0.885958
1539018631.657721,0.888156
1539018631.657721,0.888156
1539018631.785854,0.885714
1539018631.926197,0.885470
1539018631.926197,0.885470
1539018632.06671,0.884982
1539018632.416238,0.886691
1539018632.525918,0.884982
1539018632.636035,0.885958
1539018632.636035,0.885958
1539018632.75058,0.884249
1539018632.75058,0.884249
1539018632.91292,0.886447
1539018633.024554,0.885714
1539018633.156583,0.887179
1539018633.285559,0.887179
1539018633.285559,0.887179
1539018633.401854,0.885958
1539018633.401854,0.885958
1539018633.527309,0.888400
1539018633.527309,0.888400
1539018633.651054,0.886203
1539018633.786907,0.886935
1539018633.786907,0.886935
1539018633.931989,0.886935
1539018633.931989,0.886935
1539018634.041631,0.885958
1539018634.041631,0.885958
1539018634.041631,0.885958
1539018634.309609,0.887424
1539018634.309609,0.887424
1539018634.309609,0.887424
1539018634.471722,0.885470
1539018634.620209,0.886203
1539018634.620209,0.886203
1539018634.734443,0.884249
1539018634.734443,0.884249
1539018635.026168,0.886447
1539018635.026168,0.886447
1539018635.26704,0.885958
1539018635.26704,0.885958
1539018635.514856,0.885226
1539018635.660421,0.886691
