Given direction,Real direction,Reaction time
E,NE,2.06
SW,SW,2.01
SW,SW,3.43
SE,NW,2.26
S,S,1.88
N,N,1.94
E,E,1.79
SE,SE,1.8
E,E,1.89
SE,SE,1.86
E,S,2.08
W,W,1.68
SW,NW,2.16
S,N,1.86
W,W,1.81
NE,NE,1.8
