Given intensity,Real intensity,Reaction time
1,1,2.04
4,3,1.9
3,4,1.71
1,1,1.95
4,3,1.58
3,4,2.23
1,1,1.89
5,3,1.8
2,2,1.68
3,3,1.96
4,4,1.83
4,5,1.79
5,5,1.73
5,4,1.62
5,5,1.61
2,2,1.88
3,2,2.7
1,1,1.86
5,5,1.93
2,2,2.18
