Given intensity_and_length,Real intensity_and_length,Reaction time
4,4,1.7
3,2,3.29
1,1,2.38
3,3,2.03
5,5,2.19
3,2,2.07
3,2,1.98
3,3,3.09
4,3,2.32
2,1,2.85
5,4,2.12
4,4,2.98
1,1,2.08
1,1,2.41
5,5,2.07
3,2,3.21
4,3,2.13
5,4,2.19
5,5,1.95
4,5,1.68
