Given intensity_and_length,Real intensity_and_length,Reaction time
5,4,1.83
4,3,1.63
3,3,1.63
1,1,2.26
3,2,2.51
5,4,1.37
5,5,1.3
2,2,3.67
1,1,1.81
5,5,1.7
