Given intensity_and_length,Real intensity_and_length,Reaction time
3,3,2.63
3,3,2.04
4,5,1.95
1,1,1.91
2,1,3.13
3,4,1.96
4,4,1.55
2,2,2.19
1,1,2.37
2,2,2.23
5,5,2.08
3,2,2.34
3,3,2.68
5,5,2.32
5,4,2.11
4,4,2.38
2,2,2.31
4,3,2.04
1,1,2.43
4,5,1.98
