Given intensity_and_length,Real intensity_and_length,Reaction time
4,4,2.53
5,4,2.6
1,1,2.48
4,3,4.0
5,4,1.74
4,3,7.04
2,2,2.39
2,2,2.5
3,3,2.53
1,1,2.12
3,2,2.65
4,5,2.81
4,3,4.5
3,4,2.15
4,5,3.64
1,1,2.32
1,1,3.24
3,5,5.99
5,5,1.5
2,2,2.08
