Given intensity_and_length,Real intensity_and_length,Reaction time
2,2,2.22
1,1,2.42
4,4,1.63
5,4,2.03
5,5,1.5
3,2,2.07
1,1,2.32
3,3,1.88
4,5,2.38
1,1,2.36
5,5,1.6
1,1,2.44
3,5,1.63
2,2,1.83
3,2,4.03
3,3,2.68
3,3,2.89
5,4,1.67
4,3,1.86
5,4,1.72
