Given intensity,Real intensity,Reaction time
3,3,2.56
3,4,2.84
2,3,2.1
4,3,2.38
4,4,2.19
5,5,2.23
1,1,2.46
5,5,2.16
1,1,2.15
3,2,1.86
5,5,1.94
4,4,2.33
1,1,2.08
5,5,1.76
2,2,2.25
3,4,3.19
3,3,1.6
2,2,1.7
1,1,1.87
3,2,1.56
