Given intensity_and_length,Real intensity_and_length,Reaction time
2,1,3.19
4,5,1.56
4,3,1.94
1,1,2.94
3,4,1.87
3,3,2.01
3,5,1.99
4,4,2.02
2,2,1.75
3,2,2.1
