Given intensity_and_length,Real intensity_and_length,Reaction time
4,5,1.77
3,2,2.07
3,3,1.84
4,4,1.74
3,3,1.95
4,4,2.22
1,1,2.48
1,1,2.37
4,5,2.27
3,2,2.18
