Given intensity,Real intensity,Reaction time
3,2,3.14
5,5,2.41
5,4,2.05
4,3,2.27
3,3,2.17
3,4,2.73
1,1,2.62
5,5,2.39
1,1,3.04
4,4,2.63
5,5,2.4
1,1,4.31
2,2,2.05
5,4,2.53
2,2,2.77
3,3,2.21
1,1,2.84
3,2,2.3
4,5,3.46
3,3,2.74
