Given intensity_and_length,Real intensity_and_length,Reaction time
3,3,3.35
5,4,2.3
2,2,2.53
4,5,3.53
3,4,2.36
1,1,16.15
1,1,2.38
3,3,2.22
3,2,2.1
4,5,3.58
