Given intensity,Real intensity,Reaction time
5,4,1.59
2,2,1.16
1,2,1.76
4,5,1.94
5,4,1.89
1,2,1.9
5,5,2.0
4,3,1.82
4,3,1.99
1,1,2.43
5,4,2.66
5,5,1.87
2,1,5.14
4,4,1.98
2,2,2.5
5,5,1.88
4,3,1.9
1,1,1.96
1,1,1.86
3,3,1.85
