Given intensity_and_length,Real intensity_and_length,Reaction time
3,2,2.51
5,5,1.77
1,1,2.42
5,4,2.09
2,2,2.27
4,4,1.88
5,5,1.47
4,3,1.93
1,1,2.37
3,3,2.88
