Given intensity_and_length,Real intensity_and_length,Reaction time
4,5,1.43
3,4,1.9
4,5,3.1
3,4,1.55
1,1,2.26
3,2,2.02
2,2,1.97
3,2,2.32
4,5,1.54
5,4,1.71
5,4,1.81
4,3,2.35
1,1,1.67
5,5,1.74
2,2,2.13
1,1,2.09
5,3,2.39
4,3,2.18
1,1,1.97
3,3,2.18
