Given intensity,Real intensity,Reaction time
2,2,2.17
3,4,1.9
2,2,2.18
3,5,2.13
1,1,1.94
1,1,1.96
3,3,1.85
3,3,2.12
1,1,2.06
4,4,2.25
5,5,2.54
4,3,2.16
2,2,1.81
3,3,1.85
3,5,2.26
4,4,1.82
5,5,1.84
1,1,1.98
2,2,2.66
4,4,2.09
