Given direction,Real direction,Reaction time
SE,SE,2.23
S,S,2.07
S,S,2.04
SE,SE,1.78
NW,W,2.09
SW,SW,2.16
NW,NW,2.09
E,NE,1.91
E,E,1.95
N,N,2.24
NE,E,2.5
W,SW,2.05
NE,NE,2.25
N,N,2.1
NW,W,1.98
NW,NW,2.22
