Given direction,Real direction,Reaction time
N,N,2.4
NW,NW,1.86
SW,S,1.96
N,N,3.58
E,E,1.88
SE,SE,2.79
W,W,3.44
W,SW,2.26
E,SE,2.7
SW,S,2.82
W,W,2.66
NE,E,2.45
NW,NW,2.41
NE,NE,1.94
NE,NE,1.52
SW,SW,1.72
