Given direction,Real direction,Reaction time
W,W,2.09
E,E,1.86
SW,SW,1.83
NW,NW,2.2
E,SE,3.23
SE,SE,2.63
N,N,1.6
E,E,1.95
SW,SW,1.48
S,S,1.89
NE,NE,2.04
NE,NE,2.26
SW,W,1.58
S,S,1.85
NW,NW,2.09
N,N,1.78
